Data,Tipo de movimentação,Valor
2024-04-02,Rendimentos,1.48
2024-04-03,Rendimentos,0.89
2024-04-04,Rendimentos,0.82
2024-04-05,Rendimentos,0.91
2024-04-08,Rendimentos,0.87
2024-04-09,Guardado,679.31
2024-04-09,Guardado,18.0
2024-04-09,Rendimentos,1.55
2024-04-10,Rendimentos,0.97
2024-04-11,Rendimentos,0.71
2024-04-12,Rendimentos,0.71
2024-04-15,Rendimentos,0.73
2024-04-16,Rendimentos,0.82
2024-04-17,Rendimentos,0.8
2024-04-18,Rendimentos,0.76
2024-04-19,Rendimentos,0.83
2024-04-22,Rendimentos,0.85
2024-04-23,Rendimentos,0.96
2024-04-24,Rendimentos,0.87
2024-04-25,Rendimentos,0.9
2024-04-26,Rendimentos,0.88
2024-04-29,Rendimentos,0.9
2024-04-30,Rendimentos,1.16
2024-05-02,Rendimentos,1.0
2024-05-03,Rendimentos,1.05
2024-05-06,Rendimentos,1.01
2024-05-07,Rendimentos,1.32
2024-05-08,Rendimentos,1.03
2024-05-09,Guardado,1412.0
2024-05-09,Rendimentos,1.02
2024-05-10,Rendimentos,0.93
2024-05-13,Rendimentos,0.93
2024-05-14,Rendimentos,1.04
2024-05-15,Rendimentos,1.02
2024-05-16,Rendimentos,1.08
2024-05-17,Rendimentos,1.07
2024-05-20,Rendimentos,1.1
2024-05-21,Rendimentos,1.39
2024-05-22,Rendimentos,1.23
2024-05-23,Rendimentos,1.21
2024-05-24,Rendimentos,1.23
2024-05-27,Rendimentos,1.32
2024-05-28,Rendimentos,1.74
2024-05-29,Rendimentos,1.33
2024-05-31,Rendimentos,1.4
2024-06-03,Rendimentos,1.7
2024-06-04,Rendimentos,1.98
2024-06-05,Rendimentos,1.5
2024-06-06,Rendimentos,1.64
2024-06-07,Rendimentos,1.58
2024-06-08,Guardado,1412.0
2024-06-10,Rendimentos,1.59
2024-06-11,Rendimentos,1.36
2024-06-12,Rendimentos,1.38
2024-06-13,Rendimentos,1.42
2024-06-14,Rendimentos,1.45
2024-06-17,Rendimentos,1.48
2024-06-18,Rendimentos,1.67
2024-06-19,Rendimentos,1.56
2024-06-20,Rendimentos,1.6
2024-06-21,Rendimentos,1.62
2024-06-24,Rendimentos,1.66
2024-06-25,Rendimentos,1.98
2024-06-26,Rendimentos,1.75
2024-06-27,Rendimentos,1.79
2024-06-28,Rendimentos,1.78
2024-07-01,Rendimentos,1.86
2024-07-02,Rendimentos,2.34
2024-07-03,Rendimentos,1.91
2024-07-04,Rendimentos,1.93
2024-07-05,Rendimentos,2.02
2024-07-08,Rendimentos,2.0
2024-07-09,Guardado,1412.0
2024-07-09,Rendimentos,2.63
2024-07-10,Rendimentos,2.11
2024-07-11,Rendimentos,1.83
2024-07-12,Rendimentos,1.85
2024-07-15,Rendimentos,2.29
2024-07-16,Rendimentos,2.1
2024-07-17,Rendimentos,1.97
2024-07-18,Rendimentos,2.01
2024-07-19,Rendimentos,2.07
